Focus,Mag,H-Value,V-Value
0.8,0.5,1.41,1.522
0.85,0.5,1.44,1.519
0.9,0.5,1.42,1.525
0.95,0.5,1.42,1.524
1,0.5,1.41,1.519
1.05,0.5,1.43,1.517
1.1,0.5,1.43,1.526
1.15,0.5,1.39,1.525
1.2,0.5,1.42,1.543
1.25,0.5,1.43,1.561
1.3,0.5,1.38,1.558
1.35,0.5,1.43,1.56
1.4,0.5,1.42,1.549
1.45,0.5,1.41,1.551
1.5,0.5,1.41,1.545
1.55,0.5,1.41,1.561
1.6,0.5,1.4,1.544
1.65,0.5,1.4,1.553
1.7,0.5,1.36,1.532
1.75,0.5,1.3,1.529
1.8,0.5,1.31,1.529
1.85,0.5,1.37,1.523
1.9,0.5,1.33,1.528
1.95,0.5,1.26,1.52
-2,-0.9,1.34,1.499
-1.95,-0.9,1.39,1.486
-1.9,-0.9,1.42,1.486
-1.85,-0.9,1.36,1.492
-1.8,-0.9,1.34,1.498
-1.75,-0.9,1.4,1.485
-1.7,-0.9,1.41,1.485
-1.65,-0.9,1.36,1.5
-1.6,-0.9,1.36,1.503
-1.55,-0.9,1.38,1.497
-1.5,-0.9,1.4,1.495
-1.45,-0.9,1.41,1.503
-1.4,-0.9,1.39,1.498
-1.35,-0.9,1.43,1.505
-1.3,-0.9,1.43,1.498
-1.25,-0.9,1.46,1.505
-1.2,-0.9,1.47,1.486
-1.15,-0.9,1.46,1.484
-1.1,-0.9,1.47,1.499
-1.05,-0.9,1.47,1.503
-1,-0.9,1.47,1.507
-0.95,-0.9,1.47,1.501
-0.9,-0.9,1.48,1.49
-0.85,-0.9,1.46,1.504
-0.8,-0.9,1.46,1.495
-0.75,-0.9,1.46,1.497
-0.7,-0.9,1.47,1.497
-0.65,-0.9,1.47,1.492
-0.6,-0.9,1.47,1.505
-0.55,-0.9,1.47,1.492
-0.5,-0.9,1.47,1.504
-0.45,-0.9,1.47,1.5
-0.4,-0.9,1.47,1.497
-0.35,-0.9,1.47,1.489
-0.3,-0.9,1.47,1.496
-0.25,-0.9,1.47,1.493
-0.2,-0.9,1.46,1.484
-0.15,-0.9,1.47,1.488
-0.1,-0.9,1.47,1.48
-0.05,-0.9,1.47,1.48
0,-0.9,1.47,1.484
0.05,-0.9,1.47,1.496
0.1,-0.9,1.47,1.481
0.15,-0.9,1.46,1.491
0.2,-0.9,1.47,1.482
0.25,-0.9,1.47,1.493
0.3,-0.9,1.47,1.488
0.35,-0.9,1.47,1.489
0.4,-0.9,1.47,1.485
0.45,-0.9,1.47,1.498
0.5,-0.9,1.47,1.508
